Station_Name,X_Percentage,Y_Percentage,Rain_Critical,Asset_Location
A50_TCR_105,51.968,57.745,1,Bay Fair
A10_TCR,41.631,46.257,1,Lake Merritt
R60_TCR,24.08,13.06,1,Richmond
R50_TCR_105,26.5,15.83,1,El Cerrito Del Norte
R10_TCR,36.25,26.48,1,Ashby
M90_TCR_116A,20.136,68.617,1,Daly City
M90_TCR_114,20.158,68.638,1,Daly City
M90_TCR_113,20.133,68.611,1,Daly City
M90_TCR_112,20.127,68.598,1,Daly City
M10_TCR,35.195,42.561,1,West Oakland
L30_TCR_108D,79.83,59.44,1,Dublin/Pleasanton
K30_TCR,38.908,32.784,1,MacArthur
C10_TCR,41.697,26.541,1,Rockridge
A20_TCR_108,44.146,49.044,1,Fruitvale
A20_TCR_107,44.145,49.042,1,Fruitvale
C60_TCR,53.86,13.055,1,Concord
C50_TCR_104,51.448,15.709,1,Pleasant Hill/Contra Costa Centre
Y10_TCR_B,34.33,77.59,0,San Francisco International Airport
Y10_TCR_A,34.33,77.576,0,San Francisco International Airport
Y10_TCR_552,34.33,77.59,0,San Francisco International Airport
W40_TCR,30.42,79.63,0,Millbrae
W40_TCR_103A,30.42,79.63,0,Millbrae
W40_TCR_103,30.42,79.63,0,Millbrae
W40_TCR_102,30.42,79.63,0,Millbrae
W34_TCR,32.218,76.793,0,San Bruno
W30_TCR,27.289,76.615,0,San Bruno
W20_TCR_101,24.986,74.055,0,South San Francisco
W10_TCR_111E,22.593,71.405,0,Colma
W10_TCR_110,22.593,71.404,0,Colma
S50_TCR,71,89.63,0,Berryessa/North San Jose
S44_TCH,71,87.739,0,Milpitas
S40_TCR,71,85.448,0,Milpitas
S28_TCH,71,84.231,0,Warm Springs/South Fremont
S26_TCH,71,83.306,0,Warm Springs/South Fremont
S24_TCH,71,82.239,0,Warm Springs/South Fremont
S20_TCR,71,81.48,0,Warm Springs/South Fremont
S12_TCR,69.957,79.364,0,Warm Springs/South Fremont
S06_TCR,69.259,77.948,0,Warm Springs/South Fremont
R40_TCR_105,28.896,18.405,0,El Cerrito Plaza
R30_TCR_110A,31.33,21.11,0,North Berkeley
R30_TCR_110,31.33,21.11,0,North Berkeley
R20_TCR_105C,33.83,23.8,0,Downtown Berkeley
ORY_TCR_101,24.72,13.792,0,ORY TCR
M50_TCR_101D,18.21,55.529,0,16th St Mission
M40_TCR_106B,20,50.46,0,Civic Center/UN Plaza
M30_TCR_102D,21.787,48.48,0,Powell St
M20_TCR,23.199,46.915,0,Montgomery St
M16_TCR,24.78,44.999,0,Embarcadero
ODY_TCR_106,22.468,71.265,0,ODY TCR
M94_TCR_MSC,21.691,70.397,0,Daly City
M80_TCR_106,18.236,64.002,0,Balboa Park
M80_TCR_105,18.222,64.016,0,Balboa Park
M70_TCR_205,18.17,61.136,0,Glen Park
M60_TCR_101D,18.199,58.303,0,24th St Mission
L20_TCR,73.647,59.44,0,West Dublin/Pleasanton
L18_TCR,70.406,59.44,0,West Dublin/Pleasanton
L16_TCR,68.782,59.44,0,West Dublin/Pleasanton
L14_TCR,65.847,59.44,0,Castro Valley
L10_TCR_102A,63.117,59.44,0,Castro Valley
L06_TCR,54.518,60.58,0,Castro Valley
C20_TCR,44.152,23.91,0,Orinda
C88_TCR,67.642,11.02,0,Pittsburg/Bay point
C80_TCR,66.134,11.02,0,Pittsburg/Bay point
C76_TCR,62.78,11.02,0,Pittsburg/Bay point
C70_TCR_109,59.17,11.02,0,North Concord/Martinez
OCY_TCR,56.917,11.881,0,OCY TCR
C54_TCR,57.609,11.616,0,Pleasant Hill/Contra Costa Centre
C40_TCR,49.119,18.474,0,Walnut Creek
C30_TCR,46.592,21.186,0,Lafayette
K20_TCR_213E,38.919,35.365,0,19th St/Oakland
K10_TCR_102B,38.815,38.337,0,12th St/Oakland City Center
K10_TCR_101B,38.8,38.365,0,12th St/Oakland City Center
K10_TCR_101,38.807,38.34,0,12th St/Oakland City Center
A40_TCR,49.334,54.811,0,San Leandro
A30_TCR_105A,46.736,51.925,0,Coliseum
