Time,Log,Cat
2,"T385 released, 5 minutes late.",10
400,"CAR COUNT
A’s:  51   B’s:   329   C’s:   172  D’s:  25   E’s:  48 TOTAL:",10
0400,"Daily SCRAM / Spare Train Report: OCY: T337 Hole / No RR #397
ODY: SCRAM Compliant / No RR #399 / 2-C GO OHY: SCRAM Compliant / No RR #599 / 3-B GO
ORY: SCRAM Compliant / 10-car RR #499 [will balance to OCY for T337] L30: SCRAM Compliant
W40: T443 1-car short
FOTF: T107 [10], T237 [8], T375 [10], T371 [10] & T509 [10]

Note: T453 dispatching ORY as a Legacy consist due to C4014 being balanced to OCY for high hour PM status per Tango. RR #499 FOTF consist will be used to fill T337 hole from OCY.",10
443,T229 late dispatching OHY due to FW scheduling error per Tower F/W.,7
447,"T229 verifies A78 [A1 & A2 tracks] cranked, clamped & aligned for ATO.",6
0500,"BPD performing QOL sweeps T373, T513, T375, T515, T377, T517, T379, T519, T381, T441,
T501m T383 & T101 @ M16-2. Formal holds issued to T/O's & release given at station platform by BPD.",1
514,"T361 verifies C35 A-B cranks, clamps & bolts installed, aligned for ATO, (201) seconds late departing C30-2.",6
555,"T373 verifies C35 C-D cranked, clamped, bolted & aligned for ATO, (220) second delay departing C40-1.",6
631,Charlie53 [Schexnayder] @ M10 for commute.,10
635,M45 [Johnson] @ M16 for commute.,10
639,"T383 PSF M10-2, 2-cars out, continuing on per aerial platform procedure. TPA made on T383. Tango advised.",10
646,Alpha68 [Chueh] @ A10 for commute.,10
648,Romeo12 [Oliver] @ R50 for commute.,10
658,"T117 no ATO doors S20-1, ""311"" issued.",5
0700,"T373 arriving K10-2 reports heavy brake smell and brake smoke present in station. Ventilation established. Tango reports T323 arriving M10-1 has a solid PROP, no suspects. Charlie53 boarding T323 for ride through TBT. M/L Tech @ M16. 2-4 minute delays C2/M1 tracks.",5
706,Alpha99 [Colvin] @ A50 for commute.,10
708,Charlie3 [Grier] @ K30 for commute.,10
715,[MDRX] T507 in TBT BPD hold M10-2 for a welfare check in C402 [male slumped over]. Charlie53 not in position to assist.,2
720,T507 released ATO.,10
814,[MDRX] T381 reporting medical emergency on C1851 [person passed out]. Medic16 & M45 responding.,3
819,"CTO-1 reports individual is clear of train, trains released ATO. (331) second delay M16-1. BPD rolling Medical for separate medical emergency reported on platform [female passed out].",3
833,"T385 @ K20-2 reports long dwells due to heavy passenger loads. Now (332) seconds late after
(108) second dwell K30-4 & (64) second dwell K20-2.",11
837,"T383 no ATO doors M20-1, ""311"" issued.",5
844,T371 approaching C30 BPD hold C60-1 for marijuana smokers on train.,4
